datetime,P_0.02m,P_0.06m,P_0.10m,P_0.14m,P_0.18m,P_0.22m,P_0.26m
21/06/2024 04:15,19.8955929,20.06941175,20.16145706,20.17046698,20.09567236,19.93753462,19.72943563
21/06/2024 04:30,19.82606051,20.01245832,20.11193275,20.12639769,20.05853246,19.90802603,19.70802755
21/06/2024 04:45,19.75196573,19.9515891,20.06087685,20.08251914,20.02148603,19.87870055,19.68632574
21/06/2024 05:00,19.6939461,19.89550161,20.01015282,20.03872832,19.98483824,19.84947615,19.66440649
21/06/2024 05:15,19.64623377,19.84324598,19.9605732,19.99523886,19.94812559,19.81990462,19.64215536
21/06/2024 05:30,19.60252688,19.79436445,19.91249466,19.95236357,19.91175245,19.79055815,19.61948843
21/06/2024 05:45,19.56021425,19.74865865,19.86628151,19.90998801,19.8755586,19.76116591,19.59714956
21/06/2024 06:00,19.51468203,19.70359754,19.82209396,19.86871108,19.83975958,19.73161917,19.5739829
21/06/2024 06:15,19.4851124,19.66416692,19.78004074,19.82891043,19.80452894,19.70241385,19.55105848
21/06/2024 06:30,19.45717165,19.62895917,19.7408886,19.79071196,19.77023672,19.67341452,19.5278346
